"adm1.name","adm2.name","adm3.name","adm3.code","kp.era5","mort.dia"
"National Capital Region","NCR, City of Manila, First District","NCR, City of Manila, First District","PH133900000",3,2138
"Region IV-B","Palawan","Aborlan","PH175301000",3,15
"Region IV-B","Occidental Mindoro","Abra de Ilog","PH175101000",2,9
"Region III","Bataan","Abucay","PH030801000",2,8
"Region II","Cagayan","Abulug","PH021501000",2,3
"Region VIII","Leyte","Abuyog","PH083701000",1,44
"Region I","Ilocos Norte","Adams","PH012801000",1,1
"Region IV-A","Quezon","Agdangan","PH045601000",1,3
"Region II","Quirino","Aglipay","PH025701000",1,9
"Region I","Pangasinan","Agno","PH015501000",2,3
"Region IV-A","Batangas","Agoncillo","PH041001000",3,1
"Region I","La Union","Agoo","PH013301000",3,130
"Region I","Pangasinan","Aguilar","PH015502000",2,27
"Cordillera Administrative Region","Ifugao","Aguinaldo","PH142708000",2,4
"Region IV-B","Palawan","Agutaya","PH175302000",2,2
"Region VI","Iloilo","Ajuy","PH063001000",1,35
"Autonomous Region in Muslim Mindanao","Basilan","Akbar","PH150708000",1,NA
"Autonomous Region in Muslim Mindanao","Basilan","Al-Barka","PH150709000",1,NA
"Region IV-A","Quezon","Alabat","PH045602000",1,25
"Region XII","Sarangani","Alabel","PH128001000",3,28
"Region XII","Cotabato","Alamada","PH124701000",1,31
"Region IV-A","Laguna","Alaminos","PH043401000",2,12
"Region VIII","Leyte","Alangalang","PH083702000",1,13
"Region VIII","Leyte","Albuera","PH083703000",1,NA
"Region VII","Bohol","Alburquerque","PH071201000",1,3
"Region I","Pangasinan","Alcala","PH015504000",3,2
"Region II","Cagayan","Alcala","PH021502000",3,22
"Region VII","Cebu","Alcantara","PH072201000",1,2
"Region IV-B","Romblon","Alcantara","PH175901000",2,2
"Region VII","Cebu","Alcoy","PH072202000",1,3
"Region VII","Cebu","Alegria","PH072203000",1,8
"Region XIII","Surigao del Norte","Alegria","PH166701000",1,3
"Region XII","Cotabato","Aleosan","PH124717000",1,12
"Region IV-A","Cavite","Alfonso","PH042101000",2,23
"Region II","Nueva Vizcaya","Alfonso Castaneda","PH025015000",1,2
"Cordillera Administrative Region","Ifugao","Alfonso Lista","PH142707000",2,12
"Region III","Nueva Ecija","Aliaga","PH034901000",3,16
"Region II","Isabela","Alicia","PH023101000",2,36
"Region VII","Bohol","Alicia","PH071202000",1,11
"Region IX","Zamboanga Sibugay","Alicia","PH098301000",1,16
"Region I","Ilocos Sur","Alilem","PH012901000",3,3
"Region VI","Iloilo","Alimodian","PH063002000",2,30
"Region IV-A","Batangas","Alitagtag","PH041002000",3,5
"Region II","Cagayan","Allacapan","PH021503000",2,13
"Region VIII","Northern Samar","Allen","PH084801000",1,55
"Region VIII","Samar","Almagro","PH086001000",1,4
"Region VIII","Biliran","Almeria","PH087801000",1,5
"Region VII","Cebu","Aloguinsan","PH072204000",1,6
"Region X","Misamis Occidental","Aloran","PH104201000",1,8
"Region VI","Aklan","Altavas","PH060401000",1,11
"Region X","Misamis Oriental","Alubijid","PH104301000",1,7
"Region IV-A","Cavite","Amadeo","PH042102000",2,8
"Region II","Nueva Vizcaya","Ambaguio","PH025001000",3,1
"Region VII","Negros Oriental","Amlan","PH074601000",2,12
"Autonomous Region in Muslim Mindanao","Maguindanao","Ampatuan","PH153801000",1,4
"Region II","Cagayan","Amulung","PH021504000",3,15
"Region VIII","Southern Leyte","Anahawan","PH086401000",1,29
"Region III","Tarlac","Anao","PH036901000",3,2
"Region I","Pangasinan","Anda","PH015505000",2,12
"Region VII","Bohol","Anda","PH071203000",1,10
"Region II","Isabela","Angadanan","PH023102000",2,4
"Region III","Bulacan","Angat","PH031401000",2,8
"Region III","Pampanga","Angeles City","PH035401000",2,221
"Region IV-A","Rizal","Angono","PH045801000",2,136
"Region VI","Iloilo","Anilao","PH063003000",2,14
"Region VI","Antique","Anini-Y","PH060601000",2,12
"Region VII","Bohol","Antequera","PH071204000",1,NA
"Region XII","Cotabato","Antipas","PH124715000",1,8
"Region III","Pampanga","Apalit","PH035402000",3,17
"Region II","Cagayan","Aparri","PH021505000",2,110
"Region IV-B","Palawan","Araceli","PH175303000",3,8
"Region XII","Cotabato","Arakan","PH124718000",1,12
"Region III","Pampanga","Arayat","PH035403000",3,49
"Region VII","Cebu","Argao","PH072205000",1,39
"Region I","La Union","Aringay","PH013302000",3,4
"Region II","Nueva Vizcaya","Aritao","PH025002000",3,9
"Region V","Masbate","Aroroy","PH054101000",1,138
"Region VIII","Eastern Samar","Arteche","PH082601000",1,17
"Region I","Pangasinan","Asingan","PH015506000",3,7
"Cordillera Administrative Region","Ifugao","Asipulo","PH142711000",2,1
"Region VII","Cebu","Asturias","PH072206000",2,15
"Region XI","Davao del Norte","Asuncion","PH112301000",1,14
"Region IV-A","Quezon","Atimonan","PH045603000",1,46
"Cordillera Administrative Region","Benguet","Atok","PH141101000",2,2
"Region II","Isabela","Aurora","PH023103000",2,6
"Region IX","Zamboanga del Sur","Aurora","PH097302000",1,71
"Region VII","Negros Oriental","Ayungon","PH074602000",2,12
"Region V","Camarines Sur","Baao","PH051701000",1,17
"Region VIII","Leyte","Babatngon","PH083705000",1,15
"Region V","Albay","Bacacay","PH050501000",1,19
"Region I","Ilocos Norte","Bacarra","PH012802000",3,13
"Region VII","Bohol","Baclayon","PH071205000",1,5
"Region I","La Union","Bacnotan","PH013303000",3,7
"Region IV-B","Oriental Mindoro","Baco","PH175201000",2,4
"Region X","Lanao del Norte","Bacolod","PH103501000",1,14
"Autonomous Region in Muslim Mindanao","Lanao del Sur","Bacolod-Kalawi","PH153601000",1,1
"Region VI","Negros Occidental","Bacolod City","PH064501000",1,1197
"Region III","Pampanga","Bacolor","PH035404000",3,NA
"Region VII","Negros Oriental","Bacong","PH074603000",2,16
"Region IV-A","Cavite","Bacoor City","PH042103000",3,148
"Region XIII","Surigao del Norte","Bacuag","PH166702000",1,10
"Region IX","Zamboanga del Norte","Bacungan","PH097226000",1,19
"Region VII","Cebu","Badian","PH072207000",1,18
"Region VI","Iloilo","Badiangan","PH063004000",2,17
"Region I","Ilocos Norte","Badoc","PH012803000",3,NA
"Region II","Nueva Vizcaya","Bagabag","PH025003000",2,8
"Region III","Bataan","Bagac","PH030802000",2,7
"Region V","Catanduanes","Bagamanoc","PH052001000",1,2
"Region XI","Davao Oriental","Baganga","PH112501000",1,33
"Region II","Cagayan","Baggao","PH021506000",2,68
"Region VI","Negros Occidental","Bago City","PH064502000",2,148
"Cordillera Administrative Region","Benguet","Baguio City","PH141102000",2,186
"Region I","La Union","Bagulin","PH013304000",3,2
"Region XII","Sultan Kudarat","Bagumbayan","PH126501000",1,6
"Region VII","Negros Oriental","Bais City","PH074604000",2,51
"Cordillera Administrative Region","Benguet","Bakun","PH141103000",12,4
"Region IV-B","Palawan","Balabac","PH175304000",2,6
"Autonomous Region in Muslim Mindanao","Lanao del Sur","Balabagan","PH153602000",1,NA
"Region III","Bulacan","Balagtas","PH031402000",2,18
"Region VII","Cebu","Balamban","PH072208000",1,72
"Region VIII","Eastern Samar","Balangiga","PH082602000",1,10
"Region VIII","Eastern Samar","Balangkayan","PH082603000",1,NA
"Region I","La Union","Balaoan","PH013305000",3,20
"Region VI","Iloilo","Balasan","PH063005000",1,49
"Region V","Camarines Sur","Balatan","PH051702000",1,34
"Region IV-A","Batangas","Balayan","PH041003000",3,46
"Cordillera Administrative Region","Kalinga","Balbalan","PH143201000",2,2
"Region V","Masbate","Baleno","PH054102000",1,6
"Region III","Aurora","Baler","PH037701000",1,35
"Region IV-A","Batangas","Balete","PH041004000",3,3
"Region VI","Aklan","Balete","PH060402000",1,14
"Region X","Misamis Occidental","Baliangao","PH104202000",1,1
"Region IX","Zamboanga del Norte","Baliguian","PH097224000",2,6
"Region VII","Bohol","Balilihan","PH071206000",2,7
"Autonomous Region in Muslim Mindanao","Lanao del Sur","Balindong","PH153603000",1,8
"Region X","Misamis Oriental","Balingasag","PH104302000",1,39
"Region X","Misamis Oriental","Balingoan","PH104303000",1,1
"Region III","Bulacan","Baliuag","PH031403000",2,73
"Region II","Cagayan","Ballesteros","PH021507000",2,52
"Region X","Lanao del Norte","Baloi","PH103502000",1,6
"Region V","Masbate","Balud","PH054103000",2,34
"Region I","Pangasinan","Balungao","PH015507000",3,13
"Region III","Tarlac","Bamban","PH036902000",2,20
"Region II","Nueva Vizcaya","Bambang","PH025004000",3,43
"Region VI","Iloilo","Banate","PH063006000",2,7
"Cordillera Administrative Region","Ifugao","Banaue","PH142701000",2,25
"Region XI","Davao Oriental","Banaybanay","PH112502000",1,3
"Region I","Ilocos Sur","Banayoyo","PH012902000",2,1
"Region VI","Aklan","Banga","PH060403000",1,33
"Region XII","South Cotabato","Banga","PH126302000",1,30
"Region I","La Union","Bangar","PH013306000",3,11
"Cordillera Administrative Region","Abra","Bangued","PH140101000",2,60
"Region I","Ilocos Norte","Bangui","PH012804000",2,6
"Region I","Pangasinan","Bani","PH015508000",2,6
"Region XII","Cotabato","Banisilan","PH124716000",1,11
"Region I","Ilocos Norte","Banna","PH012811000",2,9
"Region XI","Davao del Sur","Bansalan","PH112401000",1,37
"Region IV-B","Oriental Mindoro","Bansud","PH175202000",2,7
"Region I","Ilocos Sur","Bantay","PH012903000",3,18
"Region VII","Cebu","Bantayan","PH072209000",2,113
"Region IV-B","Romblon","Banton","PH175902000",NA,2
"Region IV-A","Rizal","Baras","PH045803000",2,20
"Region V","Catanduanes","Baras","PH052002000",1,8
"Region VI","Antique","Barbaza","PH060602000",2,20
"Region V","Sorsogon","Barcelona","PH056202000",1,NA
"Region VII","Cebu","Barili","PH072210000",1,26
"Autonomous Region in Muslim Mindanao","Maguindanao","Barira","PH153818000",1,NA
"Cordillera Administrative Region","Mountain Province","Barlig","PH144401000",12,2
"Region XIII","Surigao del Sur","Barobo","PH166801000",1,17
"Region VI","Iloilo","Barotac Nuevo","PH063007000",2,46
"Region VI","Iloilo","Barotac Viejo","PH063008000",2,50
"Region X","Lanao del Norte","Baroy","PH103503000",1,101
"Region VIII","Leyte","Barugo","PH083706000",1,3
"Region VII","Negros Oriental","Basay","PH074605000",2,9
"Region II","Batanes","Basco","PH020901000",1,5
"Region VIII","Samar","Basey","PH086002000",1,49
"Region XIII","Dinagat Islands","Basilisa","PH168501000",1,11
"Region I","Pangasinan","Basista","PH015509000",3,18
"Region V","Camarines Norte","Basud","PH051601000",1,7
"Region VI","Iloilo","Batad","PH063009000",1,NA
"Region VI","Aklan","Batan","PH060404000",1,6
"Region IV-A","Batangas","Batangas City","PH041005000",3,262
"Region IV-B","Palawan","Bataraza","PH175305000",3,19
"Region V","Camarines Sur","Bato","PH051703000",1,30
"Region V","Catanduanes","Bato","PH052003000",1,6
"Region VIII","Leyte","Bato","PH083707000",1,17
"Region V","Masbate","Batuan","PH054104000",1,9
"Region VII","Bohol","Batuan","PH071207000",2,8
"Region IV-A","Batangas","Bauan","PH041006000",3,34
"Region I","La Union","Bauang","PH013307000",3,10
